$MFT,C:\Windows\System32\netutils.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,17
.BASH_HISTORY,C:\Users\STRATARXIS\.BASH_HISTORY,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\.BASH_HISTORY,38
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,8
ALIASES.SH,C:\PROGRAM FILES\Git\etc\profile.d\aliases.sh,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\PROFILE.D\ALIASES.SH,29
BASH.BASHRC,C:\PROGRAM FILES\Git\etc\BASH.BASHRC,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\BASH.BASHRC,37
BASH.EXE,C:\PROGRAM FILES\Git\usr\bin\bash.exe,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\BIN\BASH.EXE,4
BASH_PROFILE.SH,C:\PROGRAM FILES\Git\etc\profile.d\BASH_PROFILE.SH,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\PROFILE.D\BASH_PROFILE.SH,30
BOOTSTRAP.SH,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\BOOTSTRAP.SH,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\BOOTSTRAP.SH,41
DNSAPI.DLL,C:\Windows\System32\dnsapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DNSAPI.DLL,23
ENV.SH,C:\PROGRAM FILES\Git\etc\profile.d\env.sh,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\PROFILE.D\ENV.SH,31
GIT-COMPLETION.BASH,C:\PROGRAM FILES\Git\mingw64\share\git\COMPLETION\GIT-COMPLETION.BASH,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\SHARE\GIT\COMPLETION\GIT-COMPLETION.BASH,34
GIT-PROMPT.SH,C:\PROGRAM FILES\Git\mingw64\share\git\COMPLETION\GIT-PROMPT.SH,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\SHARE\GIT\COMPLETION\GIT-PROMPT.SH,33
GIT-PROMPT.SH,C:\PROGRAM FILES\Git\etc\profile.d\GIT-PROMPT.SH,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\PROFILE.D\GIT-PROMPT.SH,32
GIT.EXE,C:\PROGRAM FILES\Git\mingw64\bin\git.exe,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\BIN\GIT.EXE,6
HEAD,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\HEAD,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\HEAD,7
INPUTRC,C:\PROGRAM FILES\Git\etc\inputrc,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\INPUTRC,40
IPHLPAPI.DLL,C:\Windows\System32\IPHLPAPI.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IPHLPAPI.DLL,25
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,1
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,2
LANG.SH,C:\PROGRAM FILES\Git\etc\profile.d\lang.sh,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\PROFILE.D\LANG.SH,35
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,3
MSVCRT.DLL,C:\Windows\System32\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCRT.DLL,9
MSWSOCK.DLL,C:\Windows\System32\mswsock.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSWSOCK.DLL,22
MSYS-2.0.DLL,C:\PROGRAM FILES\Git\usr\bin\MSYS-2.0.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\BIN\MSYS-2.0.DLL,5
MSYSTEM,C:\PROGRAM FILES\Git\etc\msystem,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\MSYSTEM,28
NAPINSP.DLL,C:\Windows\System32\NapiNSP.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NAPINSP.DLL,19
NETAPI32.DLL,C:\Windows\System32\netapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NETAPI32.DLL,12
NETUTILS.DLL,C:\Windows\System32\netutils.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NETUTILS.DLL,16
NLAAPI.DLL,C:\Windows\System32\nlaapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NLAAPI.DLL,21
NSI.DLL,C:\Windows\System32\nsi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NSI.DLL,24
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
PERLBIN.SH,C:\PROGRAM FILES\Git\etc\profile.d\perlbin.sh,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\PROFILE.D\PERLBIN.SH,36
PNRPNSP.DLL,C:\Windows\System32\pnrpnsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\PNRPNSP.DLL,20
PROFILE,C:\PROGRAM FILES\Git\etc\profile,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\PROFILE,27
RPCRT4.DLL,C:\Windows\System32\rpcrt4.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\RPCRT4.DLL,11
SAMCLI.DLL,C:\Windows\System32\samcli.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SAMCLI.DLL,13
SAMLIB.DLL,C:\Windows\System32\samlib.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SAMLIB.DLL,15
SECHOST.DLL,C:\Windows\System32\sechost.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SECHOST.DLL,10
UCRTBASE.DLL,C:\Windows\System32\ucrtbase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\UCRTBASE.DLL,14
WINRNR.DLL,C:\Windows\System32\winrnr.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WINRNR.DLL,26
WS2_32.DLL,C:\Windows\System32\ws2_32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WS2_32.DLL,18
XTERM,C:\PROGRAM FILES\Git\usr\share\terminfo\78\xterm,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\SHARE\TERMINFO\78\XTERM,39
