$MFT,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\RESOURCES\app\apm\bin\apm.cmd,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,16
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,12
APM.CMD,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\RESOURCES\app\apm\bin\apm.cmd,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\RESOURCES\APP\APM\BIN\APM.CMD,15
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,18
BASEBRD.DLL,C:\Windows\Branding\BaseBrd\basebrd.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\BRANDING\BASEBRD\BASEBRD.DLL,7
BASEBRD.DLL.MUI,C:\Windows\Branding\BaseBrd\en-US\BASEBRD.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\BRANDING\BASEBRD\EN-US\BASEBRD.DLL.MUI,8
CMD.EXE,C:\Windows\System32\cmd.exe,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CMD.EXE,1
CMD.EXE.MUI,C:\Windows\System32\en-US\CMD.EXE.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\CMD.EXE.MUI,22
CMD.EXE.MUI,C:\Windows\SysWOW64\en-US\CMD.EXE.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\EN-US\CMD.EXE.MUI,10
CMDEXT.DLL,C:\Windows\System32\cmdext.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CMDEXT.DLL,11
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,2
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,3
KERNELBASE.DLL.MUI,C:\Windows\System32\en-US\KERNELBASE.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\KERNELBASE.DLL.MUI,20
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,4
MSVCRT.DLL,C:\Windows\System32\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCRT.DLL,5
NODE.EXE,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\RESOURCES\app\apm\bin\node.exe,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\RESOURCES\APP\APM\BIN\NODE.EXE,17
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
RPCRT4.DLL,C:\Windows\System32\rpcrt4.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\RPCRT4.DLL,14
SECHOST.DLL,C:\Windows\System32\sechost.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SECHOST.DLL,13
SORTDEFAULT.NLS,C:\Windows\GLOBALIZATION\Sorting\SORTDEFAULT.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\GLOBALIZATION\SORTING\SORTDEFAULT.NLS,9
SYSMAIN.SDB,C:\Windows\apppatch\sysmain.sdb,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\APPPATCH\SYSMAIN.SDB,19
WHERE.EXE,C:\Windows\System32\where.exe,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WHERE.EXE,21
WINBRAND.DLL,C:\Windows\System32\winbrand.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WINBRAND.DLL,6
