$MFT,C:\Windows\GLOBALIZATION\Sorting\SORTDEFAULT.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,22
ADVAPI32.DLL,C:\Windows\SysWOW64\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\ADVAPI32.DLL,14
ATTRIB.EXE,C:\Windows\SysWOW64\attrib.exe,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\ATTRIB.EXE,24
BCRYPTPRIMITIVES.DLL,C:\Windows\SysWOW64\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPTPRIMITIVES.DLL,19
CMD.EXE,C:\Windows\SysWOW64\cmd.exe,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CMD.EXE,8
CMD.EXE.MUI,C:\Windows\System32\en-US\CMD.EXE.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\CMD.EXE.MUI,12
CMDEXT.DLL,C:\Windows\SysWOW64\cmdext.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CMDEXT.DLL,13
CRYPTBASE.DLL,C:\Windows\SysWOW64\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CRYPTBASE.DLL,18
EXE90C4.TMP.BAT,C:\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\EXE90C4.TMP.BAT,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\EXE90C4.TMP.BAT,23
EXE9F0D.TMP.BAT,C:\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\EXE9F0D.TMP.BAT,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\EXE9F0D.TMP.BAT,20
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,3
KERNEL32.DLL,C:\Windows\SysWOW64\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\KERNEL32.DLL,4
KERNELBASE.DLL,C:\Windows\SysWOW64\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\KERNELBASE.DLL,9
KERNELBASE.DLL.MUI,C:\Windows\SysWOW64\en-US\KERNELBASE.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\EN-US\KERNELBASE.DLL.MUI,25
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,10
MSVCRT.DLL,C:\Windows\SysWOW64\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\MSVCRT.DLL,11
NTDLL.DLL,C:\Windows\SysWOW64\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\NTDLL.DLL,7
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
RPCRT4.DLL,C:\Windows\SysWOW64\rpcrt4.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\RPCRT4.DLL,16
SECHOST.DLL,C:\Windows\SysWOW64\sechost.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\SECHOST.DLL,15
SORTDEFAULT.NLS,C:\Windows\GLOBALIZATION\Sorting\SORTDEFAULT.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\GLOBALIZATION\SORTING\SORTDEFAULT.NLS,21
SSPICLI.DLL,C:\Windows\SysWOW64\sspicli.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\SSPICLI.DLL,17
USER32.DLL,C:\Windows\System32\user32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\USER32.DLL,5
WOW64.DLL,C:\WINDOWS\SYSTEM32\WOW64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WOW64.DLL,1
WOW64CPU.DLL,C:\WINDOWS\SYSTEM32\WOW64CPU.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WOW64CPU.DLL,6
WOW64WIN.DLL,C:\WINDOWS\SYSTEM32\WOW64WIN.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WOW64WIN.DLL,2
